seed,score,lowestFaceDown,completedRuns,depth,nodes
76,-24390,40,0,4,921
84,-24390,40,0,4,1985
87,-24390,40,0,4,1129
97,-24390,40,0,4,1924
103,-24390,40,0,4,1825
106,-24390,40,0,4,1340
114,-24390,40,0,4,1205
121,-24390,40,0,4,1861
129,-24390,40,0,4,1483
135,-24390,40,0,4,2033
136,-24390,40,0,4,1707
140,-24390,40,0,4,1190
144,-24390,40,0,4,2069
145,-24390,40,0,4,1610
149,-24390,40,0,4,2151
150,-24390,40,0,4,1832
152,-24390,40,0,4,1524
158,-24390,40,0,4,1835
170,-24390,40,0,4,2070
178,-24390,40,0,4,2175
183,-24390,40,0,4,1924
185,-24390,40,0,4,2116
186,-24390,40,0,4,790
196,-24390,40,0,4,1778
197,-24390,40,0,4,893
198,-24390,40,0,4,767
199,-24390,40,0,4,1647
201,-24390,40,0,4,963
216,-24390,40,0,4,1516
219,-24390,40,0,4,1748
223,-24390,40,0,4,1217
229,-24390,40,0,4,1264
230,-24390,40,0,4,816
232,-24390,40,0,4,1881
234,-24390,40,0,4,2061
242,-24390,40,0,4,1876
249,-24390,40,0,4,851
257,-24390,40,0,4,1886
258,-24390,40,0,4,1091
260,-24390,40,0,4,1758
268,-24390,40,0,4,1383
269,-24390,40,0,4,1964
274,-24390,40,0,4,687
281,-24390,40,0,4,875
287,-24390,40,0,4,989
302,-24390,40,0,4,1976
316,-24390,40,0,4,1371
320,-24390,40,0,4,1526
324,-24390,40,0,4,1932
328,-24390,40,0,4,1041
330,-24390,40,0,4,1592
332,-24390,40,0,4,1675
338,-24390,40,0,4,1708
341,-24390,40,0,4,859
348,-24390,40,0,4,1989
349,-24390,40,0,4,1453
371,-24390,40,0,4,677
375,-24390,40,0,4,1961
379,-24390,40,0,4,1386
380,-24390,40,0,4,1002
384,-24390,40,0,4,1103
395,-24390,40,0,4,512
396,-24390,40,0,4,1724
397,-24390,40,0,4,689
419,-24390,40,0,4,1085
428,-24390,40,0,4,1990
429,-24390,40,0,4,1034
456,-24390,40,0,4,1828
468,-24390,40,0,4,1018
469,-24390,40,0,4,1067
472,-24390,40,0,4,1879
473,-24390,40,0,4,736
476,-24390,40,0,4,922
480,-24390,40,0,4,1602
483,-24390,40,0,4,1271
487,-24390,40,0,4,1257
490,-24390,40,0,4,1290
495,-24390,40,0,4,1790
497,-24390,40,0,4,1850
513,-24390,40,0,4,1242
521,-24390,40,0,4,1921
535,-24390,40,0,4,1575
537,-24390,40,0,4,2001
546,-24390,40,0,4,1613
551,-24390,40,0,4,1397
552,-24390,40,0,4,1436
553,-24390,40,0,4,2003
565,-24390,40,0,4,1991
568,-24390,40,0,4,1961
569,-24390,40,0,4,1975
571,-24390,40,0,4,1342
578,-24390,40,0,4,1773
579,-24390,40,0,4,1667
581,-24390,40,0,4,1887
592,-24390,40,0,4,1256
622,-24390,40,0,4,1974
630,-24390,40,0,4,1879
633,-24390,40,0,4,1232
639,-24390,40,0,4,1809
645,-24390,40,0,4,2157
656,-24390,40,0,4,1900
660,-24390,40,0,4,1855
665,-24390,40,0,4,1980
667,-24390,40,0,4,1252
669,-24390,40,0,4,1731
675,-24390,40,0,4,1382
680,-24390,40,0,4,1120
688,-24390,40,0,4,1822
691,-24390,40,0,4,1504
695,-24390,40,0,4,1847
699,-24390,40,0,4,2000
703,-24390,40,0,4,1553
705,-24390,40,0,4,1949
714,-24390,40,0,4,1842
720,-24390,40,0,4,1878
729,-24390,40,0,4,981
743,-24390,40,0,4,677
744,-24390,40,0,4,1275
751,-24390,40,0,4,1681
755,-24390,40,0,4,2009
775,-24390,40,0,4,1146
777,-24390,40,0,4,1242
791,-24390,40,0,4,1533
793,-24390,40,0,4,1396
803,-24390,40,0,4,1422
805,-24390,40,0,4,979
806,-24390,40,0,4,1931
812,-24390,40,0,4,1695
813,-24390,40,0,4,1079
814,-24390,40,0,4,1700
817,-24390,40,0,4,829
835,-24390,40,0,4,1595
838,-24390,40,0,4,706
839,-24390,40,0,4,1489
854,-24390,40,0,4,1070
880,-24390,40,0,4,625
883,-24390,40,0,4,851
885,-24390,40,0,4,862
890,-24390,40,0,4,1452
897,-24390,40,0,4,2025
902,-24390,40,0,4,1872
907,-24390,40,0,4,1819
912,-24390,40,0,4,1817
913,-24390,40,0,4,1477
918,-24390,40,0,4,1347
921,-24390,40,0,4,1129
922,-24390,40,0,4,1319
925,-24390,40,0,4,1875
947,-24390,40,0,4,1888
949,-24390,40,0,4,1834
950,-24390,40,0,4,1943
954,-24390,40,0,4,1935
962,-24390,40,0,4,1674
969,-24390,40,0,4,1915
972,-24390,40,0,4,1643
975,-24390,40,0,4,1764
976,-24390,40,0,4,1874
981,-24390,40,0,4,1567
984,-24390,40,0,4,1837
995,-24390,40,0,4,1499
930,-24505,40,0,5,2383
1,-24505,40,0,4,2105
22,-24505,40,0,4,826
63,-24505,40,0,4,700
